d s a   m_i     
1 1 0	 1
488 13 26	 1 1 1 3 25 55 37 79 167 907 1075 271 4059
489 13 41	 1 3 5 13 5 13 53 165 437 67 1705 3177 8095
490 13 50	 1 3 3 13 27 57 95 55 443 245 1945 1725 1929
491 13 55	 1 3 1 9 5 33 109 35 99 827 341 2401 2411
492 13 69	 1 1 5 9 7 33 43 39 87 799 635 3481 7159
493 13 70	 1 3 1 1 31 15 45 27 337 113 987 2065 2529
494 13 79	 1 1 5 9 5 15 105 123 479 289 1609 2177 4629
495 13 82	 1 3 5 11 31 47 97 87 385 195 1041 651 3271
496 13 87	 1 1 3 7 17 3 101 55 87 629 1687 1387 2745
497 13 93	 1 3 5 5 7 21 9 237 313 549 1107 117 6183
498 13 94	 1 1 3 9 9 5 55 201 487 851 1103 2993 4055
499 13 97	 1 1 5 9 31 19 59 7 363 381 1167 2057 5715
500 13 100	 1 3 3 15 23 63 19 227 387 827 487 1049 7471
501 13 112	 1 3 1 5 23 25 61 245 363 863 963 3583 6475
502 13 121	 1 1 5 1 5 27 81 85 275 49 235 3291 1195
503 13 134	 1 1 5 7 23 53 85 107 511 779 1265 1093 7859
504 13 138	 1 3 3 1 9 21 75 219 59 485 1739 3845 1109
505 13 148	 1 3 5 1 13 41 19 143 293 391 2023 1791 4399
506 13 151	 1 3 7 15 21 13 21 195 215 413 523 2099 2341
507 13 157	 1 1 1 3 29 51 47 57 135 575 943 1673 541
508 13 161	 1 3 5 1 9 13 113 175 447 115 657 4077 5973
509 13 179	 1 1 1 11 17 41 37 95 297 579 911 2207 2387
510 13 181	 1 3 5 3 23 11 23 231 93 667 711 1563 7961
511 13 188	 1 1 7 3 17 59 13 181 141 991 1817 457 1711
512 13 196	 1 3 3 5 31 59 81 205 245 537 1049 997 1815
513 13 203	 1 3 7 5 17 13 9 79 17 185 5 2211 6263
514 13 206	 1 3 7 13 7 53 61 145 13 285 1203 947 2933
515 13 223	 1 1 7 3 31 19 69 217 47 441 1893 673 4451
516 13 224	 1 1 1 1 25 9 23 225 385 629 603 3747 4241
517 13 227	 1 3 1 9 5 37 31 237 431 79 1521 459 2523
518 13 230	 1 3 7 3 9 43 105 179 5 225 799 1777 4893
519 13 239	 1 1 3 1 29 45 29 159 267 247 455 847 3909
520 13 241	 1 1 3 7 25 21 121 57 467 275 719 1521 7319
521 13 248	 1 3 1 3 11 35 119 123 81 979 1187 3623 4293
522 13 253	 1 1 1 7 15 25 121 235 25 487 873 1787 1977
523 13 268	 1 1 1 11 3 7 17 135 345 353 383 4011 2573
524 13 274	 1 3 7 15 27 13 97 123 65 675 951 1285 6559
525 13 283	 1 3 7 3 7 1 71 19 325 765 337 1197 2697
526 13 286	 1 3 5 1 31 37 11 71 169 283 83 3801 7083
527 13 289	 1 1 3 15 17 29 83 65 275 679 1749 4007 7749
528 13 301	 1 1 3 1 21 11 41 95 237 361 1819 2783 2383
529 13 302	 1 3 7 11 29 57 111 187 465 145 605 1987 8109
530 13 316	 1 1 3 3 19 15 55 83 357 1001 643 1517 6529
531 13 319	 1 3 1 5 29 35 73 23 77 619 1523 1725 8145
532 13 324	 1 1 5 5 19 23 7 197 449 337 717 2921 315
533 13 331	 1 3 5 9 7 63 117 97 97 813 1925 2817 1579
534 13 333	 1 1 1 11 31 7 25 235 231 133 1007 1371 1553
535 13 345	 1 1 7 5 19 7 47 171 267 243 1331 567 6033
536 13 351	 1 1 5 1 7 49 55 89 109 735 1455 3193 6239
537 13 358	 1 1 1 7 1 61 9 103 3 929 1481 2927 2957
538 13 375	 1 1 5 13 17 21 75 49 255 1019 1161 2133 1177
539 13 379	 1 3 1 3 13 15 41 247 211 409 1163 523 2635
540 13 381	 1 3 7 7 21 59 91 149 479 391 681 2311 6249
541 13 386	 1 1 5 11 27 53 21 211 197 815 719 1605 255
542 13 403	 1 1 3 3 9 33 59 3 323 1 101 1135 8105
543 13 405	 1 3 3 1 29 5 17 141 51 991 841 327 3859
544 13 419	 1 3 1 5 11 19 23 89 175 173 165 2881 1881
545 13 426	 1 1 1 15 13 51 87 39 495 611 1341 1531 7029
546 13 428	 1 1 3 11 13 55 75 185 57 61 1917 2051 5965
547 13 439	 1 1 5 5 7 53 11 217 213 933 921 3607 5175
548 13 440	 1 3 3 5 17 53 103 251 369 781 1319 3717 4439
549 13 446	 1 3 5 13 1 39 25 235 321 773 251 3111 6397
550 13 451	 1 1 7 3 31 5 25 29 325 385 1313 127 4705
551 13 454	 1 1 5 15 15 27 15 85 239 243 1633 3473 2621
552 13 458	 1 3 3 3 9 19 113 13 137 165 25 2957 7549
553 13 465	 1 3 1 3 11 21 3 97 417 183 1205 1437 247
554 13 468	 1 1 7 3 17 21 125 55 67 387 385 2323 887
555 13 472	 1 3 5 5 29 11 103 223 233 641 133 415 1297
556 13 475	 1 3 3 11 1 9 5 189 235 1007 1363 3985 889
557 13 477	 1 3 7 9 23 19 19 183 269 403 1643 3559 5189
558 13 496	 1 3 7 3 29 45 17 69 475 149 1291 2689 7625
559 13 502	 1 3 7 3 27 37 41 73 253 1001 431 1111 7887
560 13 508	 1 1 7 5 3 7 87 143 289 495 631 3011 6151
561 13 517	 1 1 1 13 5 45 17 167 23 975 801 1975 6833
562 13 521	 1 3 1 11 7 21 39 23 213 429 1301 2059 197
563 13 527	 1 3 3 15 3 57 121 133 29 711 1961 2497 189
564 13 530	 1 1 3 5 11 55 115 137 233 673 985 2849 5911
565 13 532	 1 1 7 15 29 45 1 241 329 323 925 2821 3331
566 13 542	 1 1 5 7 13 31 81 105 199 145 195 1365 5119
567 13 552	 1 3 7 11 3 55 11 31 117 343 1265 1837 2451
568 13 555	 1 1 3 7 29 57 61 179 429 591 177 1945 2159
569 13 560	 1 3 5 11 23 49 101 137 339 323 1035 1749 7737
570 13 566	 1 3 1 13 21 35 55 79 19 269 1055 2651 7083
571 13 575	 1 3 3 11 9 9 95 167 437 361 1185 4083 603
572 13 577	 1 1 1 7 31 61 77 65 489 657 691 2423 4147
573 13 589	 1 3 5 7 21 37 87 191 311 453 2013 829 2619
574 13 590	 1 1 5 9 17 47 35 101 5 813 1157 1279 7365
575 13 602	 1 1 5 3 11 35 113 199 369 721 901 1471 7801
576 13 607	 1 3 1 5 9 61 83 157 391 739 1957 2123 4341
577 13 608	 1 3 5 11 19 19 111 225 383 219 997 717 7505
578 13 611	 1 3 1 11 13 63 35 127 209 831 501 3017 3507
579 13 613	 1 3 7 9 29 7 11 163 81 563 1445 3215 6377
580 13 625	 1 3 7 11 25 3 39 195 491 45 839 4021 4899
581 13 644	 1 3 7 15 13 5 67 143 117 505 1281 3679 5695
582 13 651	 1 3 7 9 9 19 21 221 147 763 683 2211 589
583 13 654	 1 1 3 5 21 47 53 109 299 807 1153 1209 7961
584 13 656	 1 3 7 11 9 31 45 43 505 647 1127 2681 4917
585 13 662	 1 1 5 15 31 41 63 113 399 727 673 2587 5259
586 13 668	 1 1 1 13 17 53 35 99 57 243 1447 1919 2831
587 13 681	 1 3 7 11 23 51 13 9 49 449 997 3073 4407
588 13 682	 1 3 5 7 23 33 89 41 415 53 697 1113 1489
589 13 689	 1 1 3 7 1 13 29 13 255 749 77 3463 1761
590 13 696	 1 3 3 7 13 15 93 191 309 869 739 1041 3053
591 13 699	 1 3 5 13 5 19 109 211 347 839 893 2947 7735
592 13 707	 1 3 1 13 27 3 119 157 485 99 1703 3895 573
593 13 709	 1 3 7 11 1 23 123 105 31 359 275 1775 3685
594 13 714	 1 3 3 5 27 11 125 3 413 199 2043 2895 2945
595 13 716	 1 3 3 3 15 49 121 159 233 543 193 4007 321
596 13 719	 1 1 3 5 9 47 87 1 51 1011 1595 2239 6467
597 13 727	 1 3 7 9 1 33 87 137 469 749 1413 805 6817
598 13 734	 1 3 1 13 19 45 95 227 29 677 1275 3395 4451
599 13 738	 1 1 7 5 7 63 33 71 443 561 1311 3069 6943
600 13 743	 1 1 1 13 9 37 23 69 13 415 1479 1197 861
601 13 747	 1 3 3 13 27 21 13 233 105 777 345 2443 1105
602 13 757	 1 1 7 11 23 13 21 147 221 549 73 2729 6279
603 13 769	 1 1 7 7 25 27 15 45 227 39 75 1191 3563
604 13 770	 1 1 5 7 13 49 99 167 227 13 353 1047 8075
605 13 776	 1 1 3 13 31 9 27 7 461 737 1559 3243 53
606 13 790	 1 3 1 1 21 41 97 165 171 821 587 2137 2293
607 13 799	 1 3 1 11 17 41 29 187 87 599 1467 1395 5931
608 13 805	 1 1 1 9 9 49 89 205 409 453 61 1923 1257
609 13 809	 1 3 7 3 9 43 89 143 431 83 1243 1795 3599
610 13 812	 1 3 5 13 3 25 59 219 43 223 797 2651 6015
611 13 820	 1 1 5 15 7 55 65 207 213 311 1287 1269 6467
612 13 827	 1 3 7 11 21 57 31 183 351 857 911 1683 7155
613 13 829	 1 3 5 11 27 1 21 47 387 383 1593 115 3805
614 13 835	 1 3 1 1 13 23 87 173 181 619 1653 3931 6073
615 13 841	 1 1 7 5 17 43 37 61 307 621 1785 55 115
616 13 844	 1 3 7 15 25 61 123 15 237 671 1473 467 1907
617 13 856	 1 1 7 5 29 57 75 237 85 699 159 3577 4771
618 13 859	 1 1 1 11 25 19 51 1 147 31 895 2617 625
619 13 862	 1 3 7 5 29 15 115 175 395 391 1141 1827 1181
620 13 865	 1 3 5 7 17 7 11 193 89 243 561 3787 4551
621 13 885	 1 3 1 11 7 57 7 125 403 947 1261 409 8083
622 13 890	 1 1 5 13 21 63 115 233 231 921 1747 3635 2519
623 13 905	 1 1 5 11 3 27 15 91 505 591 1451 3881 2997
624 13 916	 1 1 3 11 21 9 109 153 317 533 593 3967 2797
625 13 925	 1 3 3 13 9 57 121 245 219 867 967 791 7095
626 13 935	 1 1 1 9 29 21 99 35 375 959 329 4087 7171
627 13 939	 1 1 1 9 11 17 17 97 89 135 631 3809 3253
628 13 942	 1 1 1 15 21 51 91 249 459 801 757 2353 2033
629 13 949	 1 3 5 9 23 29 77 53 399 767 1817 2171 1629
630 13 953	 1 1 3 5 29 5 43 121 17 859 1479 3785 6641
631 13 956	 1 1 3 7 7 61 45 109 371 833 91 153 4553
632 13 961	 1 1 3 11 7 55 81 123 389 139 1933 891 1789
633 13 968	 1 3 7 15 25 17 93 165 503 717 1553 1475 1627
634 13 976	 1 1 1 13 13 63 13 225 357 571 33 4073 3795
635 13 988	 1 1 3 11 1 31 107 145 407 961 501 2987 103
636 13 995	 1 1 7 1 23 63 49 193 173 281 25 2465 5927
637 13 997	 1 1 7 1 1 1 85 77 273 693 349 1239 4503
638 13 1007	 1 1 5 11 7 61 9 121 25 357 1443 405 7827
639 13 1015	 1 1 7 13 11 53 11 207 145 211 1703 1081 2117
640 13 1016	 1 1 3 11 27 23 19 9 297 279 1481 2273 6387
641 13 1027	 1 3 3 5 15 45 3 41 305 87 1815 3461 5349
642 13 1036	 1 3 3 13 9 37 79 125 259 561 1087 4091 793
643 13 1039	 1 3 5 7 31 55 7 145 347 929 589 2783 5905
644 13 1041	 1 1 7 15 3 25 1 181 13 243 653 2235 7445
645 13 1048	 1 3 5 5 17 53 65 7 33 583 1363 1313 2319
646 13 1053	 1 3 3 7 27 47 97 201 187 321 63 1515 7917
647 13 1054	 1 1 3 5 23 9 3 165 61 19 1789 3783 3037
648 13 1058	 1 3 1 13 15 43 125 191 67 273 1551 2227 5253
649 13 1075	 1 1 1 13 25 53 107 33 299 249 1475 2233 907
650 13 1082	 1 3 5 1 23 37 85 17 207 643 665 2933 5199
651 13 1090	 1 1 7 7 25 57 59 41 15 751 751 1749 7053
652 13 1109	 1 3 3 1 13 25 127 93 281 613 875 2223 6345
653 13 1110	 1 1 5 3 29 55 79 249 43 317 533 995 1991
654 13 1119	 1 3 3 15 17 49 79 31 193 233 1437 2615 819
655 13 1126	 1 1 5 15 25 3 123 145 377 9 455 1191 3953
656 13 1130	 1 3 5 3 15 19 41 231 81 393 3 19 2409
657 13 1135	 1 1 3 1 27 43 113 179 7 853 947 2731 297
658 13 1137	 1 1 1 11 29 39 53 191 443 689 529 3329 7431
659 13 1140	 1 3 7 5 3 29 19 67 441 113 949 2769 4169
660 13 1149	 1 3 5 11 11 55 85 169 215 815 803 2345 3967
661 13 1156	 1 1 7 9 5 45 111 5 419 375 303 1725 4489
662 13 1159	 1 3 5 15 29 43 79 19 23 417 381 541 4923
663 13 1160	 1 1 3 15 3 31 117 39 117 305 1227 1223 143
664 13 1165	 1 1 5 9 5 47 87 239 181 353 1561 3313 1921
665 13 1173	 1 3 3 1 3 15 53 221 441 987 1997 2529 8059
666 13 1178	 1 1 7 11 15 57 111 139 137 883 1881 2823 5661
667 13 1183	 1 3 5 5 21 11 5 13 27 973 587 1331 1373
668 13 1184	 1 1 7 11 29 51 93 29 217 221 55 2477 1979
669 13 1189	 1 3 3 13 3 11 49 75 379 371 1441 793 7633
670 13 1194	 1 1 1 13 19 45 89 249 91 649 1695 915 5619
671 13 1211	 1 3 1 7 7 29 1 77 313 895 519 771 295
672 13 1214	 1 3 1 15 5 3 1 57 331 109 485 2853 6831
673 13 1216	 1 1 1 15 17 3 35 99 245 971 839 2509 2803
674 13 1225	 1 3 3 3 9 37 57 251 325 317 529 1313 6379
675 13 1231	 1 1 1 15 25 59 1 119 95 15 795 2375 6463
676 13 1239	 1 3 1 5 1 49 117 21 47 179 863 85 1669
677 13 1243	 1 3 7 3 9 37 19 221 455 973 571 1427 817
678 13 1246	 1 1 1 15 17 9 67 213 127 887 1299 2913 7451
679 13 1249	 1 3 1 13 27 27 41 43 171 623 691 391 4885
680 13 1259	 1 3 1 13 17 17 123 239 143 227 1151 519 6543
681 13 1273	 1 3 7 5 7 63 97 39 101 555 1057 381 7891
682 13 1274	 1 3 5 1 3 27 85 129 161 875 1945 3541 695
683 13 1281	 1 3 3 5 21 59 25 183 35 25 987 1459 181
684 13 1287	 1 3 5 13 1 15 127 237 349 337 1491 2383 7811
685 13 1294	 1 3 5 5 31 5 109 51 409 733 1395 3207 6049
686 13 1296	 1 1 5 7 13 35 113 25 263 389 299 2521 1783
687 13 1305	 1 3 7 11 15 47 97 73 55 75 113 2695 1023
688 13 1306	 1 3 1 1 3 13 69 211 289 483 1335 787 677
689 13 1318	 1 1 3 3 17 7 37 77 505 137 1113 345 2975
690 13 1332	 1 1 1 13 3 11 95 199 453 109 479 3725 239
691 13 1335	 1 1 7 15 19 53 3 145 359 863 347 3833 3043
692 13 1336	 1 1 7 15 25 63 127 129 125 195 155 2211 8153
693 13 1341	 1 1 7 13 9 49 121 115 73 119 1851 727 47
694 13 1342	 1 3 3 13 13 11 71 7 45 591 133 2407 5563
695 13 1362	 1 1 1 13 23 29 87 89 501 71 1759 1119 687
696 13 1364	 1 1 7 7 13 7 13 183 53 951 1877 3991 6771
697 13 1368	 1 3 7 11 7 1 27 47 61 21 919 961 1091
698 13 1378	 1 3 5 5 1 27 1 5 63 157 1297 1049 5893
699 13 1387	 1 3 7 9 19 33 17 133 425 797 1721 153 119
700 13 1389	 1 3 3 7 13 37 1 215 509 1003 61 2353 7511
701 13 1397	 1 1 7 1 29 19 31 79 199 555 1209 1603 6089
702 13 1401	 1 3 1 1 5 31 111 127 333 429 1863 3925 5411
703 13 1408	 1 1 7 5 5 5 123 191 47 993 269 4051 2111
704 13 1418	 1 1 5 15 1 9 87 5 47 463 865 1813 7357
705 13 1425	 1 3 1 3 23 63 123 83 511 777 63 1285 4537
706 13 1426	 1 3 3 7 27 25 31 65 441 529 1815 1893 323
707 13 1431	 1 3 7 5 11 19 7 5 397 811 755 2883 4217
708 13 1435	 1 3 1 13 9 21 13 7 271 539 1769 3243 5325
709 13 1441	 1 1 7 1 31 13 47 131 181 457 1559 2663 6653
710 13 1444	 1 3 3 7 29 55 25 203 419 91 437 1159 5691
711 13 1462	 1 1 3 13 29 19 71 217 337 329 501 939 2205
712 13 1471	 1 1 3 1 1 27 17 201 97 285 1269 4043 2207
713 13 1474	 1 1 1 1 3 41 13 199 141 129 1515 3129 5969
714 13 1483	 1 3 3 9 3 17 119 41 271 933 877 701 2197
715 13 1485	 1 1 1 7 15 47 3 195 115 821 725 843 6071
716 13 1494	 1 3 5 15 17 33 85 65 297 571 1123 2743 5727
717 13 1497	 1 1 5 11 27 15 37 235 415 293 1439 2739 4171
718 13 1516	 1 3 7 7 1 55 71 35 307 11 401 1881 933
719 13 1522	 1 3 1 11 21 37 3 177 119 339 559 3991 3437
720 13 1534	 1 3 3 9 17 17 97 119 301 169 157 3267 2261
721 13 1543	 1 3 3 9 29 3 111 101 355 869 375 2609 7377
722 13 1552	 1 3 5 9 7 21 123 99 343 693 1927 1605 4923
723 13 1557	 1 1 3 5 13 31 99 17 75 385 1539 1553 7077
724 13 1558	 1 3 3 5 31 35 107 11 407 1019 1317 3593 7203
725 13 1567	 1 3 3 13 17 33 99 245 401 957 157 1949 1571
726 13 1568	 1 3 1 11 27 15 11 109 429 307 1911 2701 861
727 13 1574	 1 1 5 13 13 35 55 255 311 957 1803 2673 5195
728 13 1592	 1 1 1 11 19 3 89 37 211 783 1355 3567 7135
729 13 1605	 1 1 5 5 21 49 79 17 509 331 183 3831 855
730 13 1606	 1 3 7 5 29 19 85 109 105 523 845 3385 7477
731 13 1610	 1 1 1 7 25 17 125 131 53 757 253 2989 2939
732 13 1617	 1 3 3 9 19 23 105 39 351 677 211 401 8103
733 13 1623	 1 3 5 1 5 11 17 3 405 469 1569 2865 3133
734 13 1630	 1 1 3 13 15 5 117 179 139 145 477 1137 2537
735 13 1634	 1 1 7 9 5 21 9 93 211 963 1207 3343 4911
736 13 1640	 1 1 1 9 13 43 17 53 81 793 1571 2523 3683
737 13 1643	 1 3 3 13 25 21 5 59 489 987 1941 171 6009
738 13 1648	 1 3 3 7 1 39 89 171 403 467 1767 3423 2791
739 13 1651	 1 1 3 9 19 49 91 125 163 1013 89 2849 6785
740 13 1653	 1 1 5 9 9 11 15 241 43 297 1719 1541 1821
741 13 1670	 1 3 7 15 29 23 103 239 191 33 1043 3649 6579
742 13 1676	 1 3 3 9 21 51 123 55 223 645 1463 4021 5891
743 13 1684	 1 1 5 7 3 41 27 235 391 303 2021 3187 7607
744 13 1687	 1 1 1 9 5 49 49 29 377 251 1887 1017 1301
745 13 1691	 1 1 3 3 13 41 27 47 223 23 517 3227 6731
746 13 1693	 1 1 7 1 31 25 47 9 511 623 2047 1263 1511
747 13 1698	 1 1 3 15 15 23 53 1 261 595 85 241 7047
748 13 1709	 1 3 3 11 17 5 81 73 149 781 2035 3163 4247
749 13 1715	 1 3 7 7 29 59 49 79 397 901 1105 2191 6277
750 13 1722	 1 3 3 11 13 27 25 173 107 73 1265 585 5251
751 13 1732	 1 1 7 15 29 23 73 229 235 887 1469 4073 2591
752 13 1735	 1 1 3 9 17 15 83 173 207 879 1701 1509 11
753 13 1747	 1 1 3 5 5 37 65 161 39 421 1153 2007 5355
754 13 1749	 1 1 7 11 23 37 5 11 9 499 17 157 5747
755 13 1754	 1 3 7 13 25 9 49 7 39 945 1349 1759 1441
756 13 1777	 1 1 5 3 21 15 113 81 265 837 333 3625 6133
757 13 1784	 1 3 1 11 13 27 73 109 297 327 299 3253 6957
758 13 1790	 1 1 3 13 19 39 123 73 65 5 1061 2187 5055
759 13 1795	 1 1 3 1 11 31 21 115 453 857 711 495 549
760 13 1801	 1 3 7 7 15 29 79 103 47 713 1735 3121 6321
761 13 1802	 1 1 5 5 29 9 97 33 471 705 329 1501 1349
762 13 1812	 1 3 3 1 21 9 111 209 71 47 491 2143 1797
763 13 1828	 1 3 3 3 11 39 21 135 445 259 607 3811 5449
764 13 1831	 1 1 7 9 11 25 113 251 395 317 317 91 1979
765 13 1837	 1 3 1 9 3 21 103 133 389 943 1235 1749 7063
766 13 1838	 1 1 3 7 1 11 5 15 497 477 479 3079 6969
767 13 1840	 1 1 3 3 15 39 105 131 475 465 181 865 3813
768 13 1845	 1 1 7 9 19 63 123 131 415 525 457 2471 3135
769 13 1863	 1 3 7 15 25 35 123 45 341 805 485 4049 7065
770 13 1864	 1 1 1 5 29 9 47 227 51 867 1873 1593 2271
771 13 1867	 1 1 7 15 31 9 71 117 285 711 837 1435 6275
772 13 1870	 1 3 1 1 5 19 79 25 301 415 1871 645 3251
773 13 1877	 1 3 1 3 17 51 99 185 447 43 523 219 429
774 13 1881	 1 3 1 13 29 13 51 93 7 995 757 3017 6865
775 13 1884	 1 1 3 15 7 25 75 17 155 981 1231 1229 1995
776 13 1903	 1 3 5 3 27 45 71 73 225 763 377 1139 2863
777 13 1917	 1 1 3 1 1 39 69 113 29 371 1051 793 3749
778 13 1918	 1 1 3 13 23 61 27 183 307 431 1345 2757 4031
779 13 1922	 1 3 7 5 5 59 117 197 303 721 877 723 1601
780 13 1924	 1 3 5 1 27 33 99 237 485 711 665 3077 5105
781 13 1928	 1 1 3 1 13 9 103 201 23 951 2029 165 2093
782 13 1931	 1 3 5 13 5 29 55 85 221 677 611 3613 4567
783 13 1951	 1 1 1 1 7 61 9 233 261 561 953 4023 2443
784 13 1952	 1 3 3 13 1 17 103 71 223 213 833 1747 6999
785 13 1957	 1 3 5 15 25 53 57 187 25 695 1207 4089 2877
786 13 1958	 1 1 7 1 7 31 87 129 493 519 1555 1155 4637
787 13 1964	 1 1 1 15 21 17 23 29 19 255 927 1791 3093
788 13 1967	 1 1 3 9 17 33 95 129 175 461 287 2633 2325
789 13 1970	 1 3 5 7 23 19 63 209 249 583 1373 2039 2225
790 13 1972	 1 3 3 5 5 19 79 241 459 355 1455 3313 3639
791 13 1994	 1 1 7 9 21 41 97 119 129 769 1541 3495 7741
792 13 2002	 1 1 7 11 9 29 35 255 141 937 1763 41 1393
793 13 2007	 1 3 7 1 13 51 61 157 177 847 1829 3539 285
794 13 2008	 1 1 1 15 21 13 9 55 397 19 1495 1255 7235
795 13 2023	 1 1 7 7 25 37 53 237 319 197 269 1205 1485
796 13 2030	 1 1 5 15 23 17 35 247 323 807 233 3681 4407
797 13 2035	 1 1 3 7 9 59 85 105 493 763 1639 391 1451
798 13 2038	 1 3 3 9 15 33 5 253 129 625 1527 2793 6057
799 13 2042	 1 3 1 1 7 47 21 161 235 83 397 3563 5953
800 13 2047	 1 3 7 11 3 41 25 117 375 779 1297 3715 8117
801 13 2051	 1 1 3 7 31 19 103 173 475 189 2035 2921 1107
802 13 2058	 1 1 7 3 25 7 93 255 307 113 1893 2233 6919
803 13 2060	 1 3 5 15 9 57 79 143 165 5 1389 193 693
804 13 2071	 1 3 5 1 29 45 91 49 189 461 439 1283 7835
805 13 2084	 1 1 3 13 11 61 41 231 373 695 395 915 5393
806 13 2087	 1 3 7 11 5 51 67 53 483 95 1943 247 5653
807 13 2099	 1 3 7 5 5 57 45 235 137 793 1069 1661 1557
808 13 2108	 1 3 5 3 25 55 103 177 81 861 1151 143 7655
809 13 2111	 1 1 3 1 21 41 67 131 253 431 1269 3181 3429
810 13 2120	 1 3 1 1 21 7 77 221 257 663 71 2949 2481
811 13 2128	 1 3 5 3 3 23 45 107 299 739 1013 3 3165
812 13 2138	 1 1 5 1 3 37 109 37 243 983 1221 1691 3869
813 13 2143	 1 1 5 5 31 7 5 193 397 867 1495 3435 7441
814 13 2144	 1 1 1 1 17 59 97 233 389 597 1013 1631 483
815 13 2153	 1 1 1 11 7 41 107 53 111 125 1513 1921 7647
816 13 2156	 1 3 3 3 31 29 117 3 365 971 1139 2123 5913
817 13 2162	 1 1 1 13 23 3 1 167 475 639 1811 3841 3081
818 13 2167	 1 1 5 3 5 47 65 123 275 783 95 119 7591
819 13 2178	 1 3 1 15 13 33 93 237 467 431 705 4013 4035
820 13 2183	 1 3 5 1 19 7 101 231 155 737 1381 3343 2051
821 13 2202	 1 1 5 9 15 49 45 163 433 765 2031 201 2589
822 13 2211	 1 3 7 9 19 41 31 89 93 623 105 745 4409
823 13 2214	 1 1 5 1 11 45 127 85 389 439 829 477 7965
824 13 2223	 1 3 3 15 13 41 1 207 435 585 311 1725 2737
825 13 2225	 1 3 3 3 13 49 21 31 197 799 1411 2959 7133
826 13 2232	 1 3 1 3 7 43 9 141 133 579 1059 93 957
827 13 2237	 1 3 7 1 15 51 23 213 381 851 699 2261 3419
828 13 2257	 1 3 5 9 25 35 67 141 35 409 1423 365 1645
829 13 2260	 1 3 3 11 15 33 27 181 93 87 1761 3511 1353
830 13 2267	 1 3 5 3 25 63 111 137 321 819 705 1547 7271
831 13 2274	 1 3 1 1 5 57 99 59 411 757 1371 3953 3695
832 13 2276	 1 3 5 11 11 21 25 147 239 455 709 953 7175
833 13 2285	 1 3 3 15 5 53 91 205 341 63 723 1565 7135
834 13 2288	 1 1 7 15 11 21 99 79 63 593 2007 3629 5271
835 13 2293	 1 3 3 1 9 21 45 175 453 435 1855 2649 6959
836 13 2294	 1 1 3 15 15 33 121 121 251 431 1127 3305 4199
837 13 2297	 1 1 1 9 31 15 71 29 345 391 1159 2809 345
838 13 2303	 1 3 7 1 23 29 95 151 327 727 647 1623 2971
839 13 2308	 1 1 7 7 9 29 79 91 127 909 1293 1315 5315
840 13 2311	 1 1 5 11 13 37 89 73 149 477 1909 3343 525
841 13 2318	 1 3 5 7 5 59 55 255 223 459 2027 237 4205
842 13 2323	 1 1 1 7 27 11 95 65 325 835 907 3801 3787
843 13 2332	 1 1 1 11 27 33 99 175 51 913 331 1851 4133
844 13 2341	 1 3 5 5 13 37 31 99 273 409 1827 3845 5491
845 13 2345	 1 1 3 7 23 19 107 85 283 523 509 451 421
846 13 2348	 1 3 5 7 13 9 51 81 87 619 61 2803 5271
847 13 2354	 1 1 1 15 9 45 35 219 401 271 953 649 6847
848 13 2368	 1 1 7 11 9 45 17 219 169 837 1483 1605 2901
849 13 2377	 1 1 7 7 21 43 37 33 291 359 71 2899 7037
850 13 2380	 1 3 3 13 31 53 37 15 149 949 551 3445 5455
851 13 2383	 1 3 1 5 19 45 81 223 193 439 2047 3879 789
852 13 2388	 1 1 7 3 11 63 35 61 255 563 459 2991 3359
853 13 2395	 1 1 5 9 13 49 47 185 239 221 1533 3635 2045
854 13 2397	 1 3 7 3 25 37 127 223 51 357 483 3837 6873
855 13 2401	 1 1 7 9 31 37 113 31 387 833 1243 1543 5535
856 13 2411	 1 3 1 9 23 59 119 221 73 185 2007 2885 2563
857 13 2413	 1 1 1 13 7 33 53 179 67 185 1541 1807 4659
858 13 2419	 1 3 1 11 31 37 23 215 269 357 207 645 4219
859 13 2435	 1 3 3 13 19 27 107 55 91 71 1695 1815 89
860 13 2442	 1 1 3 15 3 19 35 247 49 529 1523 3317 6151
861 13 2455	 1 1 7 7 23 25 107 139 483 503 1277 243 7879
862 13 2472	 1 3 3 13 3 15 11 197 135 839 985 275 5527
863 13 2478	 1 3 5 3 25 47 95 21 113 307 1001 3065 295
864 13 2490	 1 1 3 9 19 19 99 213 363 449 735 2851 2521
865 13 2507	 1 1 3 9 5 49 63 61 157 857 497 2801 6987
866 13 2509	 1 1 1 9 1 41 109 119 499 939 867 3675 8023
867 13 2517	 1 3 1 1 13 33 109 123 289 3 1271 2773 4265
868 13 2524	 1 3 1 11 9 57 83 221 95 43 1189 457 7133
869 13 2528	 1 1 7 3 11 49 33 219 229 289 685 3359 4495
870 13 2531	 1 3 1 3 19 43 67 193 41 771 407 81 3891
871 13 2538	 1 1 7 11 5 29 51 175 297 539 1 2245 6439
872 13 2545	 1 3 7 15 21 33 117 183 511 489 1283 3281 5979
873 13 2546	 1 3 7 5 9 3 125 147 359 549 369 3049 2405
874 13 2555	 1 3 5 7 19 5 65 97 483 377 1523 1457 2995
875 13 2557	 1 1 5 1 11 21 41 113 277 131 1475 1043 2367
876 13 2564	 1 3 3 1 15 17 101 69 443 865 817 1421 5231
877 13 2573	 1 1 3 3 3 55 95 99 75 195 1929 3931 5855
